Order Date,Product,Category,Quantity,Unit Price,Revenue
2025-06-11,Wireless Mouse,Electronics,2,28.02,56.04
2025-06-11,Smartphone Case,Electronics,8,10.54,84.32
2025-06-11,Baseball Cap,Clothing,4,24.01,96.04
2025-06-15,Smartphone Case,Electronics,2,13.85,27.7
2025-06-18,Webcam HD,Electronics,2,31.13,62.26
2025-07-01,Portable Speaker,Electronics,5,34.42,172.1
2025-07-06,Running Shoes,Clothing,11,65.87,724.57
2025-07-14,Bluetooth Headphones,Electronics,6,35.79,214.74
2025-07-14,USB-C Charger,Electronics,7,10.02,70.14
2025-07-24,Bar Stool,Furniture,3,44.47,133.41
2025-07-31,USB-C Charger,Electronics,12,10.36,124.32
2025-08-03,Power Bank 10000mAh,Electronics,10,19.4,194.0
2025-08-05,Smartphone Case,Electronics,2,8.37,16.74
2025-08-11,Smartwatch,Electronics,1,98.97,98.97
2025-08-13,Dining Table,Furniture,8,424.89,3399.12
2025-08-23,Winter Jacket,Clothing,2,88.45,176.9
2025-08-28,Bed Frame,Furniture,1,365.95,365.95
2025-09-06,Bluetooth Headphones,Electronics,9,78.95,710.55
2025-09-06,Webcam HD,Electronics,7,39.24,274.68
2025-09-14,Winter Jacket,Clothing,9,128.57,1157.13
2025-09-16,Laptop Stand,Electronics,9,38.05,342.45
2025-09-17,Winter Jacket,Clothing,7,87.83,614.81
2025-09-18,Wireless Mouse,Electronics,3,18.39,55.17
2025-09-21,Standing Desk,Furniture,11,197.59,2173.49
2025-09-28,Smartwatch,Electronics,7,184.68,1292.76
2025-10-03,Baseball Cap,Clothing,10,13.93,139.3
2025-10-04,Coffee Table,Furniture,10,80.57,805.7
2025-10-05,Smartphone Case,Electronics,6,8.72,52.32
2025-10-07,Hooded Sweatshirt,Clothing,6,25.89,155.34
2025-10-09,Mechanical Keyboard,Electronics,11,45.86,504.46
2025-10-15,Wool Sweater,Clothing,2,35.43,70.86
2025-10-19,Standing Desk,Furniture,10,199.23,1992.3
2025-10-23,Casual Dress,Clothing,2,39.6,79.2
2025-10-23,Webcam HD,Electronics,1,27.59,27.59
2025-10-27,Wireless Mouse,Electronics,9,30.29,272.61
2025-11-02,Bed Frame,Furniture,9,399.02,3591.18
2025-11-08,Denim Jeans,Clothing,9,49.04,441.36
2025-11-12,Hooded Sweatshirt,Clothing,7,39.22,274.54
2025-11-15,Mechanical Keyboard,Electronics,2,99.9,199.8
2025-11-24,Smartwatch,Electronics,4,140.91,563.64
2025-11-25,Dining Table,Furniture,11,327.34,3600.74
2025-12-04,USB-C Charger,Electronics,9,17.12,154.08
2025-12-07,Webcam HD,Electronics,11,57.6,633.6
2025-12-08,Cotton T-Shirt,Clothing,5,18.16,90.8
2025-12-08,Running Shoes,Clothing,9,46.16,415.44
2025-12-09,Bed Frame,Furniture,4,366.01,1464.04
2025-12-15,USB-C Charger,Electronics,2,16.32,32.64
2025-12-20,Power Bank 10000mAh,Electronics,5,19.01,95.05
2025-12-23,Bed Frame,Furniture,3,223.9,671.7
2025-12-26,Bookshelf,Furniture,1,67.56,67.56
2025-12-27,Recliner,Furniture,11,260.49,2865.39
